4414791768.38202	4477064348.17479	4411562823.36953	4412341208.66813	4560163531.40877	4446223844.43971	4343789942.06811	4438359304.14623	4480420824.70562	4128874337.6057	3912222289.91405	3957987532.62676	4039681664.2856	4251029281.72029	4125690373.04483	3940300609.09612	3480802486.85175	3385422381.79056	3187972905.6568	3187972905.6568	3187972905.6568	3187972905.6568	3187972905.6568	3187972905.6568	3187972905.6568	3187972905.6568	3187972905.6568	3187972905.6568	3187972905.6568	3404864125.46601	3911527932.18972	4102088945.51428	4332114314.14736
4790919052.0436	6235298876.0299	6419620374.82596	6378639899.56628	7120553968.22856	7142594822.71803	4857408901.6361	4790919052.0436	4790919052.0436	4846503624.93622	4790919052.0436	4811270744.43575	4790919052.0436	4790919052.0436	4811060064.62574	4821431921.91042	4790919052.0436	4790919052.0436	4542433521.89309	4138709327.76633	4280346553.69701	4280523480.99825	4096767233.76296	4227757507.80288	4456401376.19131	4450944279.34239	6267771128.80192	7088765825.81652	6278306141.9627	6318856138.19042	6278813997.44434	4793026496.8675	4790919052.0436
7720062943.04131	7742198406.34899	7798443155.61713	7819172853.54821	7908512563.70863	7900565587.65504	7730162448.5354	7710095429.3031	7738653125.59808	7760555545.4584	7721836035.23357	7749747057.92446	7751517236.27501	7733673630.77087	7718519142.43254	7748372777.2057	7720245132.57504	7718318074.20042	7708000879.34641	7698519425.58218	7713616205.56307	7735926320.97872	7723684661.21451	7696481817.93866	7659686148.43878	7700800861.50612	7787967826.26998	7873380395.54329	7763495210.10488	7773439951.46005	7764249458.35672	7697840722.73856	7703021533.70244
10007505555.9985	11215143571.9368	10278682044.9757	7804651119.30721	10820641296.9449	10670554653.3821	10018140858.1679	7959502403.45385	10410205677.2548	10256797142.1058	7098535727.00731	11144882975.3496	11142445676.0619	10362180428.2377	10272649773.7749	11021687881.7104	7882561425.62864	7757115727.90684	7680205410.38082	7967032544.14105	7849720581.0171	11279231319.9839	7921753596.73256	7066494146.46979	7970711039.89238	7970711039.89238	10147470544.6821	10470666047.7399	7058314669.45579	10013655691.9252	10037671547.0432	11195638982.1484	10095924649.1837
13251192651.5797	13188653597.5239	13251192651.5797	11751663274.8574	13002924070.9911	13251192651.5797	13251192651.5797	12549098068.5175	13251192651.5797	13251192651.5797	12282732925.8735	13093262045.3976	12733833977.2093	13251192651.5797	13251192651.5797	13178272314.6778	10319240067.4581	10756241031.4395	11041726098.4557	10838283820.4774	10245926268.2563	12365118563.3383	12686751036.4641	12809309142.3295	12256005322.7463	12277185628.8507	13251192651.5797	13251192651.5797	12799097063.0403	13251192651.5797	13251192651.5797	13242847519.7771	13339464285.2206
17814363002.2359	17885393867.6919	17448034290.7435	13251192651.5797	17743860716.6667	18234042285.7774	18153423811.2258	18459903936.896	18505321958.1245	18397217112.247	17613153058.0856	18233790449.0282	18031379756.9317	18288374289.6706	18478724702.1908	17695117043.4675	13251192651.5797	13209828815.1425	12801780154.3273	12726771856.3114	13251192651.5797	17662965496.5378	15543123918.7503	15963718914.2184	17518189190.317	18065723100.6387	17919065565.4701	18045042803.9403	17695476880.3954	17864947475.0134	18427423151.9433	18767492524.1932	18578171415.3587
18998269538.7799	18998269538.7799	18998269538.7799	18704797890.2827	18998269538.7799	18998269538.7799	18998269538.7799	18998269538.7799	25247447195.9856	25309906003.261	25308873253.3873	18998269538.7799	18998269538.7799	18998269538.7799	18998269538.7799	18998269538.7799	17843074054.8732	17614801684.5839	17656129534.0997	17564468847.8154	17783739504.0892	18998269538.7799	18870882378.4346	18042247527.4678	18998269538.7799	18998269538.7799	18998269538.7799	19099112836.2403	19539840337.4958	19697333971.241	20756460951.842	20791264249.026	19370658227.0443
25367145654.0672	25515407837.6574	18998269538.7799	18998269538.7799	25455155353.7014	26073562390.3346	25948118550.6038	25950527381.1992	26180204378.8951	26180204378.8951	26180204378.8951	25785384381.7315	22720114377.8945	24081835409.861	24368675175.4093	24608402769.4923	23564334083.8678	23249851933.8228	24724251216.6013	24950936456.2562	24090003115.0776	21057517460.2735	19158551320.6732	18998269538.7799	20114054711.5493	23536646387.6879	25114048267.0154	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376
26414441651.557	29528680846.1492	27321996452.1677	29403957661.2354	28618696759.816	28475464818.1492	27930294558.7354	26751799695.681	26180204378.8951	26180204378.8951	29074871125.7789	26180204378.8951	25257713894.1771	25345737426.7059	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	22142084228.3252	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376
32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	32048088568.648	30729788280.8815	32871191129.8023	26275159773.9741	26180204378.8951	26180204378.8951	25454029574.4226	25250579575.28	25209368871.7589	25260259997.8829	25231492983.337	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376	25202907740.9376
32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	32871191129.8023	26180204378.8951	26180204378.8951	26180204378.8951	26180204378.8951	26180204378.8951	26180204378.8951	26180204378.8951	25993442931.891	25440103784.9747	25442241611.5822	25594910958.9093	25587777833.3575	25586455910.8716	25728669836.1583	25720200398.5497	25755694458.1166	25754023891.8123	25804422338.1065	25790781883.265	25816088203.6028	25861667414.7483
